date,price
2018/12/21,8966
2018/12/20,9148
2018/12/19,9267
2018/12/18,9284
2018/12/17,9483
2018/12/14,9646
2018/12/13,9643
2018/12/12,9563
2018/12/11,9518
2018/12/10,9498
2018/12/7,9694
2018/12/6,9759
2018/12/5,9754
2018/12/4,10103
2018/12/3,9970
2018/11/30,9936
2018/11/29,9981
2018/11/28,9797
2018/11/27,9773
2018/11/26,9594
2018/11/22,9661
2018/11/21,9561
2018/11/20,9715
2018/11/19,9856
2018/11/16,9910
2018/11/15,9816
2018/11/14,9870
2018/11/13,9826
2018/11/12,10032
2018/11/9,10133
2018/11/8,10174
2018/11/7,9961
2018/11/6,9920
2018/11/5,9887
2018/11/2,9877
2018/11/1,9720
2018/10/31,9669
2018/10/30,9476
2018/10/29,9483
2018/10/26,9647
2018/10/25,9468
2018/10/24,9799
2018/10/23,9899
2018/10/22,9905
2018/10/19,9874
2018/10/18,10068
2018/10/17,10080
2018/10/16,9835
2018/10/15,9881
2018/10/12,9792
2018/10/11,9974
2018/10/10,10322
2018/10/9,10343
2018/10/5,10528
2018/10/4,10678
2018/10/3,10605
2018/10/2,10687
2018/10/1,10662
2018/9/28,10659
2018/9/27,10583
2018/9/26,10611
2018/9/25,10597
2018/9/21,10613
2018/9/20,10495
2018/9/19,10456
2018/9/18,10336
2018/9/14,10387
2018/9/13,10265
2018/9/12,10250
2018/9/11,10216
2018/9/10,10150
2018/9/7,10158
2018/9/6,10255
2018/9/5,10339
2018/9/4,10367
2018/9/3,10359
2018/8/31,10384
2018/8/30,10531
2018/8/29,10430
2018/8/28,10440
2018/8/27,10334
2018/8/24,10289
2018/8/23,10272
2018/8/22,10197
2018/8/21,10116
2018/8/20,10144
2018/8/17,10121
2018/8/16,10024
2018/8/15,10221
2018/8/14,10120
2018/8/13,10157
2018/8/10,10311
2018/8/9,10328
2018/8/8,10381
2018/8/7,10318
2018/8/6,10314
2018/8/3,10341
2018/8/2,10339
2018/8/1,10374
2018/7/31,10266
2018/7/30,10310
2018/7/27,10332
2018/7/26,10340
2018/7/25,10297
2018/7/24,10248
2018/7/23,10221
2018/7/20,10345
2018/7/19,10397
2018/7/18,10406
2018/7/17,10314
2018/7/13,10348
2018/7/12,10207
2018/7/11,10223
2018/7/10,10219
2018/7/9,10071
2018/7/6,10020
2018/7/5,9918
2018/7/4,9913
2018/7/3,9968
2018/7/2,10001
2018/6/29,9921
2018/6/28,9825
2018/6/27,9916
2018/6/26,9875
2018/6/25,10021
2018/6/22,9998
2018/6/21,10112
2018/6/20,10056
2018/6/19,10122
2018/6/18,10203
2018/6/15,10261
2018/6/14,10224
2018/6/13,10259
2018/6/12,10266
2018/6/11,10151
2018/6/8,10167
2018/6/7,10233
2018/6/6,10115
2018/6/5,10132
2018/6/4,10052
2018/6/1,9895
2018/5/31,9931
2018/5/30,9775
2018/5/29,9995
2018/5/28,10021
2018/5/25,10056
2018/5/24,10094
2018/5/23,10227
2018/5/22,10252
2018/5/21,10196
2018/5/18,10212
2018/5/17,10173
2018/5/16,10126
2018/5/15,10148
2018/5/14,10098
2018/5/11,10099
2018/5/10,10053
2018/5/9,9938
2018/5/8,9895
2018/5/7,9882
2018/5/2,9936
2018/5/1,9890
2018/4/27,9936
2018/4/26,9863
2018/4/25,9818
2018/4/24,9886
2018/4/23,9824
2018/4/20,9857
2018/4/19,9910
2018/4/18,9849
2018/4/17,9759
2018/4/16,9757
2018/4/13,9771
2018/4/12,9674
2018/4/11,9732
2018/4/10,9564
2018/4/9,9530
2018/4/6,9710
2018/4/5,9617
2018/4/4,9525
2018/4/3,9372
2018/4/2,9581
2018/3/30,9577
2018/3/29,9518
2018/3/28,9395
2018/3/27,9532
2018/3/26,9268
2018/3/23,9417
2018/3/22,9695
2018/3/20,9711
2018/3/19,9794
2018/3/16,9827
2018/3/15,9819
2018/3/14,9887
2018/3/13,9926
2018/3/12,9970
2018/3/9,9826
2018/3/8,9745
2018/3/7,9703
2018/3/6,9711
2018/3/5,9575
2018/3/2,9596
2018/3/1,9742
2018/2/28,9905
2018/2/27,10007
2018/2/26,9917
2018/2/23,9802
2018/2/22,9829
2018/2/21,9867
2018/2/20,9873
2018/2/19,9829
2018/2/16,9819
2018/2/15,9770
2018/2/14,9702
2018/2/13,9769
2018/2/9,9550
2018/2/8,9891
2018/2/7,10002
2018/2/6,9789
2018/2/5,10255
2018/2/2,10429
2018/2/1,10411
2018/1/31,10370
2018/1/30,10496
2018/1/29,10547
2018/1/26,10546
2018/1/25,10539
2018/1/24,10591
2018/1/23,10628
2018/1/22,10535
2018/1/19,10514
2018/1/18,10551
2018/1/17,10377
2018/1/16,10455
2018/1/15,10460
2018/1/12,10410
2018/1/11,10357
2018/1/10,10467
2018/1/9,10521
2018/1/5,10419
2018/1/4,10361
2017/12/29,10256
2017/12/28,10274
2017/12/27,10255
2017/12/26,10254
2017/12/25,10240
2017/12/22,10244
2017/12/21,10199
2017/12/20,10181
2017/12/19,10182
2017/12/18,10118
2017/12/15,10049
2017/12/14,10127
2017/12/13,10156
2017/12/12,10169
2017/12/11,10145
2017/12/8,10066
2017/12/7,9973
2017/12/6,10000
